RiverMile,Lat,Long
-13.78,36.9172,-111.4986
-13.77,36.9171,-111.4987
-13.76,36.9171,-111.4989
-13.75,36.9171,-111.4991
-13.74,36.917,-111.4992
-13.73,36.9169,-111.4994
-13.72,36.9168,-111.4995
-13.71,36.9167,-111.4997
-13.7,36.9167,-111.4999
-13.69,36.9166,-111.5
-13.68,36.9165,-111.5001
-13.67,36.9164,-111.5002
-13.66,36.9162,-111.5003
-13.65,36.9161,-111.5004
-13.64,36.916,-111.5005
-13.63,36.9159,-111.5007
-13.62,36.9158,-111.5007
-13.61,36.9156,-111.5008
-13.6,36.9155,-111.5009
-13.59,36.9154,-111.5009
-13.58,36.9152,-111.5009
-13.57,36.9151,-111.5009
-13.56,36.9149,-111.5009
-13.55,36.9148,-111.5009
-13.54,36.9146,-111.5009
-13.53,36.9145,-111.5009
-13.52,36.9143,-111.5009
-13.51,36.9142,-111.5009
-13.5,36.9141,-111.5008
-13.49,36.9139,-111.5008
-13.48,36.9138,-111.5008
-13.47,36.9136,-111.5008
-13.46,36.9135,-111.5008
-13.45,36.9133,-111.5008
-13.44,36.9132,-111.5008
-13.43,36.913,-111.5008
-13.42,36.9129,-111.5007
-13.41,36.9128,-111.5007
-13.4,36.9126,-111.5007
-13.39,36.9125,-111.5007
-13.38,36.9123,-111.5007
-13.37,36.9122,-111.5007
-13.36,36.912,-111.5006
-13.35,36.9119,-111.5006
-13.34,36.9117,-111.5006
-13.33,36.9116,-111.5006
-13.32,36.9115,-111.5005
-13.31,36.9113,-111.5005
-13.3,36.9112,-111.5005
-13.29,36.911,-111.5005
-13.28,36.9109,-111.5005
-13.27,36.9107,-111.5004
-13.26,36.9106,-111.5004
-13.25,36.9104,-111.5004
-13.24,36.9103,-111.5004
-13.23,36.9102,-111.5004
-13.22,36.91,-111.5003
-13.21,36.9099,-111.5003
-13.2,36.9097,-111.5002
-13.19,36.9096,-111.5001
-13.18,36.9095,-111.5
-13.17,36.9094,-111.4999
-13.16,36.9092,-111.4999
-13.15,36.9091,-111.4998
-13.14,36.909,-111.4997
-13.13,36.9088,-111.4997
-13.12,36.9087,-111.4996
-13.11,36.9085,-111.4996
-13.1,36.9084,-111.4996
-13.09,36.9083,-111.4996
-13.08,36.9081,-111.4996
-13.07,36.908,-111.4996
-13.06,36.9078,-111.4996
-13.05,36.9077,-111.4996
-13.04,36.9075,-111.4995
-13.03,36.9074,-111.4995
-13.02,36.9072,-111.4995
