"","YearSpan","RM","MaxTempDegC","MaxTempDegCInterpolated"
"151","2000-2021",150,NA,17.67060227025
"152","2000-2021",151,NA,17.692545452
"153","2000-2021",152,NA,17.71448863375
"154","2000-2021",153,NA,17.7364318155
"155","2000-2021",154,NA,17.75837499725
"156","2000-2021",155,NA,17.780318179
"157","2000-2021",156,NA,17.80226136075
"158","2000-2021",157,NA,17.8242045425
"159","2000-2021",158,NA,17.84614772425
"160","2000-2021",159,NA,17.868090906
"161","2000-2021",160,NA,17.89003408775
"162","2000-2021",161,NA,17.9119772695
"163","2000-2021",162,NA,17.93392045125
"164","2000-2021",163,NA,17.955863633
"165","2000-2021",164,NA,17.97780681475
"166","2000-2021",165,NA,17.9997499965
"167","2000-2021",166,NA,18.02169317825
"168","2000-2021",167,18.04363636,18.04363636
"169","2000-2021",168,NA,18.0674059525862
"170","2000-2021",169,NA,18.0911755451724
"171","2000-2021",170,NA,18.1149451377586
"172","2000-2021",171,NA,18.1387147303448
"173","2000-2021",172,NA,18.162484322931
"174","2000-2021",173,NA,18.1862539155172
"175","2000-2021",174,NA,18.2100235081035
"176","2000-2021",175,NA,18.2337931006897
"177","2000-2021",176,NA,18.2575626932759
"178","2000-2021",177,NA,18.2813322858621
"179","2000-2021",178,NA,18.3051018784483
"180","2000-2021",179,NA,18.3288714710345
"181","2000-2021",180,NA,18.3526410636207
"182","2000-2021",181,NA,18.3764106562069
"183","2000-2021",182,NA,18.4001802487931
"184","2000-2021",183,NA,18.4239498413793
"185","2000-2021",184,NA,18.4477194339655
"186","2000-2021",185,NA,18.4714890265517
"187","2000-2021",186,NA,18.4952586191379
"188","2000-2021",187,NA,18.5190282117241
"189","2000-2021",188,NA,18.5427978043103
"190","2000-2021",189,NA,18.5665673968966
"191","2000-2021",190,NA,18.5903369894828
"192","2000-2021",191,NA,18.614106582069
"193","2000-2021",192,NA,18.6378761746552
"194","2000-2021",193,NA,18.6616457672414
"195","2000-2021",194,NA,18.6854153598276
"196","2000-2021",195,NA,18.7091849524138
"197","2000-2021",196,NA,18.732954545
"198","2000-2021",197,NA,18.7567241375862
"199","2000-2021",198,NA,18.7804937301724
"200","2000-2021",199,NA,18.8042633227586
"201","2000-2021",200,NA,18.8280329153448
"202","2000-2021",201,NA,18.851802507931
"203","2000-2021",202,NA,18.8755721005172
"204","2000-2021",203,NA,18.8993416931034
"205","2000-2021",204,NA,18.9231112856897
"206","2000-2021",205,NA,18.9468808782759
"207","2000-2021",206,NA,18.9706504708621
"208","2000-2021",207,NA,18.9944200634483
"209","2000-2021",208,NA,19.0181896560345
"210","2000-2021",209,NA,19.0419592486207
"211","2000-2021",210,NA,19.0657288412069
"212","2000-2021",211,NA,19.0894984337931
"213","2000-2021",212,NA,19.1132680263793
"214","2000-2021",213,NA,19.1370376189655
"215","2000-2021",214,NA,19.1608072115517
"216","2000-2021",215,NA,19.1845768041379
"217","2000-2021",216,NA,19.2083463967241
"218","2000-2021",217,NA,19.2321159893103
"219","2000-2021",218,NA,19.2558855818965
"220","2000-2021",219,NA,19.2796551744828
"221","2000-2021",220,NA,19.303424767069
"222","2000-2021",221,NA,19.3271943596552
"223","2000-2021",222,NA,19.3509639522414
"224","2000-2021",223,NA,19.3747335448276
