"YearSpan","RM","MaxTempDegC","MaxTempDegCInterpolated"
2022,191,NA,24.4396551724138
2022,192,NA,24.451724137931
2022,193,NA,24.4637931034483
2022,194,NA,24.4758620689655
2022,195,NA,24.4879310344828
2022,196,NA,24.5
2022,197,NA,24.5120689655172
2022,198,NA,24.5241379310345
2022,199,NA,24.5362068965517
2022,200,NA,24.548275862069
2022,201,NA,24.5603448275862
2022,202,NA,24.5724137931034
2022,203,NA,24.5844827586207
2022,204,NA,24.5965517241379
2022,205,NA,24.6086206896552
2022,206,NA,24.6206896551724
2022,207,NA,24.6327586206897
2022,208,NA,24.6448275862069
2022,209,NA,24.6568965517241
2022,210,NA,24.6689655172414
2022,211,NA,24.6810344827586
2022,212,NA,24.6931034482759
2022,213,NA,24.7051724137931
2022,214,NA,24.7172413793103
2022,215,NA,24.7293103448276
2022,216,NA,24.7413793103448
2022,217,NA,24.7534482758621
2022,218,NA,24.7655172413793
2022,219,NA,24.7775862068966
2022,220,NA,24.7896551724138
2022,221,NA,24.801724137931
2022,222,NA,24.8137931034483
2022,223,NA,24.8258620689655
2022,224,NA,24.8379310344828
2022,225,24.85,24.85
2022,226,NA,24.879
2022,227,NA,24.908
2022,228,NA,24.937
2022,229,NA,24.966
2022,230,NA,24.995
2022,231,NA,25.024
2022,232,NA,25.053
2022,233,NA,25.082
2022,234,NA,25.111
2022,235,NA,25.14
2022,236,NA,25.169
2022,237,NA,25.198
2022,238,NA,25.227
2022,239,NA,25.256
2022,240,NA,25.285
2022,241,NA,25.314
2022,242,NA,25.343
2022,243,NA,25.372
2022,244,NA,25.401
2022,245,25.43,25.43
